"Year","NewAgeGroup","Cases","Deaths"
"2011","0–14",20501,189
"2011","15–24",54585,310
"2011","25–64",45347,112
"2011","65+",4638,34
"2012","0–14",109406,752
"2012","15–24",49557,95
"2012","25–64",26274,61
"2012","65+",1320,5
"2013","0–14",113874,512
"2013","15–24",54442,77
"2013","25–64",34287,53
"2013","65+",2076,17
"2014","0–14",65339,325
"2014","15–24",32559,55
"2014","25–64",21774,74
"2014","65+",1670,11
"2015","0–14",109535,501
"2015","15–24",59890,60
"2015","25–64",41140,74
"2015","65+",2967,12
