"Region","Year","Cases","Deaths","IslandGroup"
"II",2014,3854,17,"Luzon"
"CAR",2014,2582,7,"Luzon"
"IVB",2010,2242,26,"Luzon"
"CAR",2013,8718,17,"Luzon"
"NCR",2010,23644,133,"Luzon"
"IVA",2009,7215,42,"Luzon"
"IVB",2009,171,2,"Luzon"
"IVB",2013,5108,14,"Luzon"
"IVA",2010,24851,106,"Luzon"
"III",2012,28360,61,"Luzon"
"X",2013,5361,49,"Mindanao"
"XII",2008,1102,6,"Mindanao"
"XII",2009,3242,10,"Mindanao"
"XII",2010,9937,55,"Mindanao"
"IX",2012,5498,42,"Mindanao"
"ARMM",2012,1459,14,"Mindanao"
"XII",2011,2735,26,"Mindanao"
"X",2008,1073,14,"Mindanao"
"XII",2012,4573,53,"Mindanao"
"Caraga",2010,3126,13,"Mindanao"
"VI",2015,10353,26,"Visayas"
"VI",2014,8489,27,"Visayas"
"VII",2009,7070,79,"Visayas"
"VII",2008,3424,96,"Visayas"
"VIII",2010,12022,93,"Visayas"
"VI",2011,3206,39,"Visayas"
"VII",2013,15853,57,"Visayas"
"VIII",2008,905,11,"Visayas"
"VII",2010,15362,116,"Visayas"
"VIII",2014,5239,21,"Visayas"
